code,module,title,origin,occurred_at,reason,strategy,department,priority,follow_up,status,source
IN026,Kioskos / Plataforma,Inestabilidad intermitente en Talagante (caídas parciales),Operacion,2026-06-02T12:00:00-04:00,Inestabilidad API / plataforma Mobius,Monitoreo + revisión SLA proveedor,Integraciones,media,Solucionado,resuelta,excel
IN027,Caja,Error 500 en cajas (múltiples cajeros afectados),Operacion,2026-06-03T12:00:00-04:00,Error en servicio backend de cajas,Revisión de logs y servicios backend,Alma,alta,Solucionado,resuelta,excel
IN028,Worklist / Exámenes,Caída de worklist en BOX 1 La Cisterna (ingreso manual),Operacion,2026-06-03T12:00:00-04:00,"Falla en integración, conectividad OK",Revisión integración worklist-agenda,GTI / Alma,alta,Solucionado,resuelta,excel
IN029,Kioskos / Plataforma,Caída total en Talagante (ticket POS-2944),Operacion,2026-06-03T12:00:00-04:00,Falla plataforma/API,Escalamiento a Mobius + monitoreo,Integraciones,alta,Solucionado,resuelta,excel
IN030,Chatbot / IA / Cotizador,Cotización incorrecta Fonasa (113.060 vs 31.750),Actualizacion,2026-06-03T12:00:00-04:00,Reglas IA no consideran formatos especiales,Reentrenamiento + validaciones,Integraciones / Comercial,alta,Solucionado,resuelta,excel
IN031,Tótem,Módulo 3 no finaliza correctamente flujo (requiere workaround),Operacion,2026-06-03T12:00:00-04:00,Error en flujo UI/UX,Corrección de lógica en tótem,Integraciones,media,Solucionado,resuelta,excel
IN032,Agendamiento,Agendamientos fantasma en agenda,Operacion,2026-06-04T12:00:00-04:00,Inconsistencia en generación de agenda,Auditoría y limpieza de agendas,Alma,alta,solucionado en update de 15/06,resuelta,excel
IN033,Agendamiento,No permite eliminar agendas/reagendar,Operacion,2026-06-04T12:00:00-04:00,Error en gestión de agenda,Revisión permisos/lógica backend,Alma,alta,incluido en update de calendario V7,resuelta,excel
IN034,Infraestructura,Scanner caja 2 requiere configuración,Operacion,2026-06-04T12:00:00-04:00,Configuración incompleta,Configuración técnica,GTI,baja,Solucionado,resuelta,excel
IN035,Infraestructura,Pantalla segundo piso en negro/intermitente,Operacion,2026-06-04T12:00:00-04:00,Falla hardware,Reemplazo equipo,GTI,baja,Solucionado,resuelta,excel
IN036,IMED / Integración,Latencia IMED en múltiples cajas,Operacion,2026-06-05T12:00:00-04:00,Retraso servicio externo,Monitoreo y ajuste,Integraciones,media,Solucionado,resuelta,excel
IN037,Infraestructura,Multibrowser se desconecta sin intervención,Operacion,2026-06-08T12:00:00-04:00,Inestabilidad aplicación,Análisis técnico,GTI,media,Solucionado,resuelta,excel
IN038,Impresoras,Error tambor no original + mala impresión,Operacion,2026-06-08T12:00:00-04:00,Insumo no compatible,Reemplazo insumo,GTI,baja,Solucionado,resuelta,excel
IN039,Linkmanager,Error 400 al subir informes,Operacion,2026-06-09T12:00:00-04:00,Querys lentos,Optimización backend,Alma,alta,solucionado en update de 15/06,resuelta,excel
IN040,Red / Conectividad,Intermitencia internet caja 057,Operacion,2026-06-09T12:00:00-04:00,Problema red,Revisión red,GTI,media,Solucionado,resuelta,excel
IN041,Red / Infraestructura,Falla WiFi oficina,Operacion,2026-06-10T12:00:00-04:00,Problema red interna,Revisión access points,GTI,media,Solucionado,resuelta,excel
IN042,Agendamiento,No permite anular horas (intermitente),Operacion,2026-06-10T12:00:00-04:00,Error funcional,Revisión backend,Alma,media,Solucionado,resuelta,excel
IN043,Infraestructura,Mac mini con problema scanner,Operacion,2026-06-10T12:00:00-04:00,Error configuración,Restauración sistema,GTI,baja,Solucionado,resuelta,excel
IN044,Exámenes / Clínica,No se puede subir info de exámenes (solo imágenes),Operacion,2026-06-10T12:00:00-04:00,Falla sistema clínico,Contingencia + revisión,Alma,alta,Solucionado,resuelta,excel
IN045,Impresoras,Falla persistente impresora módulo 4,Operacion,2026-06-11T12:00:00-04:00,Desgaste equipo,Reparación/reemplazo,GTI,baja,Solucionado,resuelta,excel
IN046,Agendamiento,Usuario no puede agendar días futuros,Operacion,2026-06-12T12:00:00-04:00,Restricción/bug,Revisión configuración usuario,Alma,media,solucionado en update de 15/06,resuelta,excel
IN047,Worklist / Exámenes,Pacientes pagados no aparecen en worklist,Operacion,2026-06-13T12:00:00-04:00,Delay integración,Revisión sincronización,Alma / GTI,alta,Solucionado,resuelta,excel
IN048,Red / Conectividad,Corte fibra Entel Talagante,Operacion,2026-06-15T12:00:00-04:00,Corte físico enlace,Contingencia y redundancia,GTI,alta,Solucionado,resuelta,excel
IN049,Infraestructura Clínica,PC dental con falla,Operacion,2026-06-15T12:00:00-04:00,Falla hardware,Respaldo + recambio,GTI / Clínica,baja,Solucionado,resuelta,excel
IN050,Caja / Bonos,Delay en valorización de bonos,Operacion,2026-06-22T12:00:00-04:00,Retraso proceso,Revisión integración,Alma,media,Solucionado,resuelta,excel
IN051,Laboratorio,Error en emisión de códigos laboratorio,Operacion,2026-06-22T12:00:00-04:00,Falla generación,Revisión lógica,Alma,alta,Solucionado,resuelta,excel
IN052,Telefonía / Anexos,Anexo telefónico de caja 4332 no funciona,Operacion,2026-06-23T12:00:00-04:00,"Falla de conectividad, configuración o equipo telefónico del anexo",Revisión remota de configuración y cableado; coordinar visita técnica si persiste,GTI,baja,Solucionado,resuelta,excel
IN053,Worklist / Exámenes,Box 8 sin worklist,Operacion,2026-06-24T12:00:00-04:00,Falla de comunicación o sincronización entre el equipo clínico y el servicio de worklist,"Revisar conectividad, servicio local, cola de trabajo e integración con el sistema clínico",GTI / Alma,alta,Solucionado,resuelta,excel
IN054,Audio / Infraestructura,Altavoces del primer piso no operativos,Operacion,2026-06-24T12:00:00-04:00,Falla o desactivación temporal del sistema de audio del primer piso,Validar configuración y conectividad; documentar solución aplicada y monitorear recurrencia,GTI,baja,Solucionado,resuelta,excel
IN055,Impresoras,Impresora nueva de la PDE imprime doble las citas,Operacion,2026-06-24T12:00:00-04:00,"Configuración incorrecta del driver, número de copias o plantilla de impresión de citas","Revisar driver, preferencias de impresión y configuración específica del módulo de citas",GTI,media,Solucionado,resuelta,excel
IN056,Agendamiento,Reagendamientos no quedan registrados después de anular una cita y tomar una nueva hora,Operacion,2026-06-24T12:00:00-04:00,Falla de persistencia o sincronización del nuevo agendamiento después de la anulación,"Revisar flujo anulación-reagendamiento, logs y transacciones; validar que la nueva hora quede registrada y no como sobrecupo",Alma,alta,incluido en update de calendario V7,resuelta,excel
IN057,App Maipo Salud / Resultados,"Examen Eco Transvaginal validado no se visualiza en la app, aunque el resto de los exámenes sí aparece",Operacion,2026-06-24T12:00:00-04:00,"Falla de publicación, sincronización o asociación del resultado validado con la ficha del paciente en la app","Realizar trazabilidad con ID de atención y paciente; revisar validación, publicación e integración entre sistema clínico y app",IT,alta,actualizacion de API 03/07,resuelta,excel
IN058,Información de prestaciones,Sistema o canal informa disponibilidad de tratamiento inyectable que Maipo Salud no realiza,Actualizacion,2026-06-24T12:00:00-04:00,Catálogo o regla de atención desactualizada permite ofrecer una prestación no disponible,"Bloquear la prestación en todos los canales, corregir catálogo y validar que no vuelva a ser agendada o informada",Alma / Comercial,alta,Solucionado,resuelta,excel
IN059,Agendamiento,"Reaparición: los reagendamientos no quedan registrados en agenda web, chatbot ni app",Operacion,2026-06-24T12:00:00-04:00,Incidente recurrente y transversal a todos los canales de agendamiento,"Registrar casos con RUT, prestación y fecha; revisar lógica común de anulación y reagendamiento en todos los canales",Alma / Integraciones,alta,Solucionado,resuelta,excel
IN060,Worklist / Exámenes,Reaparición: Box 8 continúa sin worklist; conectividad descartada,Operacion,2026-06-24T12:00:00-04:00,"Falla recurrente no asociada a conectividad; probable problema de servicio, cola, configuración o integración","Revisar servicio local, cola de trabajo, configuración del equipo e integración clínica",GTI / Alma,alta,Solucionado,resuelta,excel
IN061,Impresoras,Reaparición: impresora nueva de la PDE continúa con problemas,Operacion,2026-06-24T12:00:00-04:00,Falla persistente del mismo equipo después de revisiones previas,"Registrar recurrencia, revisar driver y configuración; escalar a reparación o reemplazo si persiste",GTI,media,Solucionado,resuelta,excel
IN062,Resultados / nPACS / App,Prestaciones de Ginecología y Cardiología informadas en Alma no actualizan estado en nPACS y pueden no visualizarse en web o app,Actualizacion,2026-06-24T12:00:00-04:00,"La integración fue implementada sin sincronización de estado desde Alma hacia nPACS; web y app consultan el estado en Alma, pero existe inconsistencia en el flujo","Revisar arquitectura e integración Alma-nPACS-web-app; definir fuente oficial de estado, disponibilidad de API y sincronización para Ginecología y Cardiología",Alma / Integraciones,alta,revision caso especifico,nueva,excel
IN063,Agendamiento / Configuración de agenda,"Consulta médica de formación en medicina interna cambió intervalos de 20 a 15 minutos, generando horas incorrectas",Operacion,2026-06-24T12:00:00-04:00,Cambio no controlado o configuración incorrecta en la duración de los bloques de agenda,"Revertir duración a 20 minutos, revisar quién o qué proceso modificó la configuración y validar las horas ya creadas",Alma,media,Operaciones,nueva,excel
IN064,Agendamiento web,La web volvió a agendar la misma prestación a la misma hora con dos tecnólogos médicos distintos,Operacion,2026-06-24T12:00:00-04:00,"Falla de validación de disponibilidad, concurrencia o bloqueo de agenda entre profesionales y prestación","Revisar reglas de colisión, disponibilidad y bloqueo transaccional; identificar casos afectados y corregir sobreagendamientos",Alma / Integraciones,alta,actualizacion de API 03/07,resuelta,excel
IN065,Impresoras,Reaparición: impresora nueva de la PDE continúa con falla y requiere reinstalar temporalmente la impresora antigua,Operacion,2026-06-25T12:00:00-04:00,Tóner defectuoso de fábrica en la impresora nueva,"Cambiar tóner defectuoso, validar operación y gestionar garantía si la falla vuelve a presentarse",GTI,baja,Solucionado,resuelta,excel
IN066,Agendamiento web,Reaparición: otro paciente quedó con dos horas para la misma prestación,Operacion,2026-06-25T12:00:00-04:00,"Persistencia de falla en validación de duplicidad para paciente, sucursal, prestación y día","Revisar caso específico, corregir reservas duplicadas y validar reglas de bloqueo en la web",Alma / Integraciones,alta,actualizacion de API 03/07,resuelta,excel
IN067,Agendamiento,Reaparición: Dra. Mutis presenta dobles agendamientos; se reportan dos casos durante el día,Operacion,2026-06-26T12:00:00-04:00,Falla recurrente de control de duplicidad o asignación incorrecta de prestaciones y horarios,"Conservar casos para trazabilidad, revisar reservas y corregir regla de validación antes de anular",Alma,alta,actualizacion de API 03/07,resuelta,excel
IN068,Agendamiento / Módulos,Módulo de las 11:30 aparece con estado desconocido,Operacion,2026-06-26T12:00:00-04:00,Estado de reserva o módulo no reconocido por el sistema,"Revisar logs, estado de la reserva y reglas de transición; corregir registros con estado inválido",Alma,media,actualizacion de API 03/07,resuelta,excel
IN069,Agendamiento web,Reaparición: la plataforma vuelve a permitir doble agendamiento; se reporta nuevamente durante la misma jornada,Operacion,2026-06-30T12:00:00-04:00,La corrección anterior no eliminó completamente la falla de duplicidad de reservas,"Analizar nuevos casos, revisar concurrencia y desplegar corrección definitiva con monitoreo posterior",Alma / Integraciones,alta,actualizacion de API 03/07,resuelta,excel
IN070,Pacientes / Datos maestros,Solicitud de unificar información de paciente,Operacion,2026-07-01T12:00:00-04:00,Posible duplicidad o fragmentación de la información del paciente entre registros,"Identificar registros involucrados, validar identidad y consolidar la ficha manteniendo trazabilidad",Alma,alta,Solucionado,resuelta,excel
IN071,Agendamiento,Agenda de Eco Abdominal en sucursal La Florida presenta horario 00:00,Operacion,2026-07-01T12:00:00-04:00,Configuración o generación incorrecta del horario de agenda,"Revisar agenda creada, trazabilidad del usuario que la modificó y corregir bloques horarios afectados",Alma,media,Solucionado,resuelta,excel
IN072,Agendamiento,Agendas previamente creadas desaparecen o deben volver a crearse; caso reportado para Dr. Jhon y ecografías generales,Operacion,2026-07-02T12:00:00-04:00,"Posible eliminación, sobrescritura o falla de persistencia en la configuración de agendas","Auditar cambios, usuarios y logs; recuperar agendas afectadas y bloquear eliminaciones no controladas",Alma,alta,incluido en update de calendario V7,resuelta,excel
IN073,Agendamiento,"Agenda del Dr. Quintero está creada, pero no se refleja para la toma de horas del sábado",Operacion,2026-07-02T12:00:00-04:00,"Falla de publicación, sincronización o visibilidad de la agenda","Revisar estado de publicación, vigencia, sucursal y reglas de disponibilidad para toma de horas",Alma,alta,incluido en update de calendario V7,resuelta,excel
IN074,Scanner / Grabación CD,Error al grabar CD de scanner; se utiliza grabación en rayos como contingencia,Operacion,2026-07-03T12:00:00-04:00,"Falla de hardware, software o unidad de grabación asociada al scanner","Revisar unidad, aplicación y permisos; mantener contingencia en rayos hasta recuperar el servicio",GTI / Clínica,media,Solucionado,resuelta,excel
IN075,Cotizador,Cotizador no está operativo,Operacion,2026-07-04T12:00:00-04:00,Caída o indisponibilidad del servicio de cotización,"Revisar disponibilidad, integraciones y logs; restablecer servicio y validar cotizaciones",Alma / Integraciones,alta,Solucionado,resuelta,excel
IN076,Tótem / Impresoras,Impresora del tótem de números no está operativa,Operacion,2026-07-06T12:00:00-04:00,Falla de conexión o contacto en cableado; equipo recuperado tras reinicio y ajuste de cables,"Revisar cableado y fijaciones, documentar solución y monitorear recurrencia",GTI,baja,Solucionado,resuelta,excel
IN077,Impresoras,Impresora del box 14 funciona mal,Operacion,2026-07-07T12:00:00-04:00,Falla de funcionamiento de impresora en box 14,"Revisar equipo, se coordina revisión presencial al llegar de Talagante",GTI,baja,Solucionado,resuelta,excel
IN078,Bono Electrónico,Inconvenientes en venta de Bono Electrónico para beneficiarios Fonasa,Operacion,2026-07-08T12:00:00-04:00,Falla o intermitencia en el servicio de venta de Bono Electrónico Fonasa,Capa de mitigación activada desde las 17:00 hrs; no aplica para Programa Médico Fonasa (posibles intermitencias); equipo monitoreando,Alma / Integraciones,alta,Solucionado,resuelta,excel
IN079,App Maipo Salud / Registro,Creación de cuenta bloqueada por dependencia de verificación de correo electrónico,Operacion,2026-07-09T12:00:00-04:00,"El registro de cuenta nueva exige verificar el correo electrónico antes de continuar, pero el flujo de verificación no se completa correctamente, bloqueando la creación de la cuenta",Revisar el envío/validación del correo de verificación y su dependencia en el flujo de registro,Alma / Integraciones,media,Solucionado,resuelta,excel
IN080,Agendamiento / Calendario nuevo,Paciente pagado en cajero de autoatención no aparece disponible para abrir ficha clínica en perfil médico,Operacion,2026-07-09T12:00:00-04:00,Inconsistencia o corrupción de datos del paciente en la vista del calendario nuevo,"Revisar registro del paciente, trazabilidad y consistencia entre calendario nuevo y ficha clínica",Alma,alta,Solucionado,resuelta,excel
IN081,Audio / Infraestructura,Altavoces no operativos,Operación,2026-07-09T12:00:00-04:00,Sistema de audio sin funcionamiento,Validar configuración y conectividad; revisar equipo,GTI,baja,Solucionado,resuelta,excel
IN082,Pricing / Cotizador,Reaparición: inconsistencia en el valor del contraste entre sistemas,Actualizacion,2026-07-09T12:00:00-04:00,Sistema muestra solo valor total debiendo mostrar valor de contraste y valor total,Unificar la fuente de precios entre sistema interno y cotizador web para evitar recurrencia,Comercial / Alma,media,,nueva,excel
IN083,Red / Conectividad,Alma caído en sucursal La Florida por falla de networking/latencia,Operacion,2026-07-09T12:00:00-04:00,Sistema Alma no disponible en sucursal La Florida; no se descarta si la causa fue una caída de red (networking) o un problema de latencia; ambas posibilidades quedan abiertas,Se restableció el servicio en aproximadamente 6 minutos; registrado como posible falla de networking o latencia; se requiere revisión técnica para determinar causa exacta y monitorear recurrencia,Alma,media,Solucionado,resuelta,excel
IN084,App/Web Maipo Salud / Registro,"Paciente no logra registrarse en página web ni app (posible caso urgente, TAC)",Operacion,2026-07-09T12:00:00-04:00,Cliente intentó registrarse tanto en la página web como en la app y no tuvo éxito en ninguna. Matías plantea como hipótesis que el error se produce por falta de un formato validado en el campo Fecha de nacimiento; posible relación con IN079 (bloqueo de registro por verificación de correo).,"Revisar con Amaro el formulario de registro en ambos canales (web y app), validando específicamente el formato del campo fecha de nacimiento; priorizar por tratarse de un caso con urgencia médica; datos del paciente disponibles por canal interno",GTI,alta,Solucionado,resuelta,excel
IN085,App Maipo Salud/Registro,Registro de usuario falla con error generico pese a cumplir todos los requisitos y corregir correo/fecha,Operacion,2026-07-10T12:00:00-04:00,"Al intentar crear la cuenta en la app, tras verificar el correo y corregir el formato de fecha de nacimiento (seguimiento de IN083), el sistema sigue mostrando el error generico Error: No se pudo registrar el usuario. Verifica que todos los datos sean correctos, aun cumpliendo todos los requisitos de contrasena (minimo 8 caracteres, mayuscula, minuscula, caracter especial y numero). Esto descarta el formato de fecha como causa unica","Revisar con Amaro creacion de usuario (logs del servicio de registro), ya que el formulario cumple todas las validaciones visibles pero la creacion sigue fallando; el mensaje de error no indica que campo especifico causa el rechazo",GTI,alta,Solucionado,resuelta,excel
IN086,Totem,Totem no genera ticket de atencion,Operacion,2026-07-10T12:00:00-04:00,"El totem de MaipoSalud muestra el mensaje Imposible generar el ticket de atencion. Por favor contacte al administrador, impidiendo que los pacientes obtengan su numero de atencion",Contactar al administrador del sistema segun indica el mensaje de error; revisar servicio de generacion de tickets del totem y su conectividad/integracion,GTI,media,Solucionado,resuelta,excel
IN087,Impresoras,Reaparicion: impresora se apaga nuevamente,Operacion,2026-07-10T12:00:00-04:00,La impresora se apago nuevamente,En contacto con Mobius para revisar la causa de los apagones recurrentes de la impresora,GTI,media,Solucionado,resuelta,excel
IN088,Laboratorio / Labytec,Examenes de laboratorio Labytec no se visualizan desde el encuentro medico,Operacion,2026-07-10T12:00:00-04:00,"El Dr. Goenaga reporta que no puede visualizar los examenes de laboratorio de Labytec; se confirma que el problema ocurre especificamente al consultar desde el encuentro medico (no desde la pagina propia de Labytec), donde aparece Laboratorio - Sin Datos",Revisar la integracion entre Labytec y el modulo de encuentro medico; validar si el problema es de sincronizacion o de disponibilidad de datos para ese canal especifico,Alma / Integraciones,alta,Solucionado,resuelta,excel
IN089,Scanner / Grabacion CD,Reaparicion: grabador de CD de scanner no operativo,Operacion,2026-07-10T12:00:00-04:00,"El grabador de CD del scanner vuelve a no estar operativo; reaparicion del mismo problema reportado en IN074 (03-07-2026), donde se uso grabacion en rayos como contingencia",Revisar equipo/unidad de grabacion; evaluar contingencia de grabacion en rayos mientras se resuelve; escalar dada la recurrencia del problema,GTI / Clinica,media,Solucionado,resuelta,excel
IN090,Impresoras,Impresora de caja 2 con papel atascado en el fusor,Operacion,2026-07-11T12:00:00-04:00,"La impresora de caja 2 presento mal funcionamiento; se reemplazo temporalmente por otra impresora administrativa. Al revisar, se encontro papel atascado dentro del fusor, generalmente causado por atasco o por apurar la impresion",Se realiza limpieza y revision del equipo para luego reinstalar y devolver la impresora administrativa prestada,GTI,baja,Solucionado,resuelta,excel
IN091,Laboratorio / Labytec,Ver Informe de laboratorio (Resultados Unificados) da error Not Found por URL mal construida,Operacion,2026-07-13T12:00:00-04:00,"Al presionar Ver Informe en Laboratorio (Resultados Unificados), el sistema arroja Not Found. La URL solicitada es /emr/pages/https://www.labytec.cl/Portal/alma/getExaAlma.php?id=2132835&rut=12703424&codSeccion=HEM, es decir, se antepone la ruta local /emr/pages/ a la URL externa completa de Labytec en vez de navegar directamente a ese enlace. Es un bug de construccion de URL en el modulo de Resultados Unificados",Corregir la construccion del enlace Ver Informe para que use directamente la URL externa de Labytec sin anteponer la ruta local /emr/pages/; validar en todos los tipos de examen,Alma,alta,Solucionado,resuelta,excel
IN092,Agendamiento web,Paciente agendada via web en un horario que no corresponde al intervalo configurado de la agenda,Operacion,2026-07-13T12:00:00-04:00,"Paciente Paola Liliana Espoz quedo agendada a las 16:45 para Consulta Medicina General (formacion Ginecologia), pero la agenda esta configurada con intervalos de 10 minutos, por lo que no deberia haber sido posible agendar en ese horario. Posible relacion con IN063 (cambio no controlado en intervalos de agenda)",Revisar como el sistema permitio la reserva fuera del intervalo configurado; validar si la agenda de esa fecha/profesional tiene una configuracion de intervalo distinta a la esperada,Alma / IT,media,,nueva,excel
IN093,Chat Bot / Agendamiento,Chatbot (Ivy) ofrece y confirma horas de agendamiento sin verificar si existe agenda real,Operacion,2026-07-13T12:00:00-04:00,"Reporta que esta dando horas cuando no hay agenda. Adicionalmente, el mensaje de preparacion del examen mostro artefactos de formato sin procesar en lugar de saltos de linea, visibles directamente en el chat con el paciente",Validar con Alma/desarrollo si la disponibilidad que muestra el chatbot consulta la agenda real o una fuente desactualizada/cacheada; corregir el procesamiento de saltos de linea en los textos de preparacion antes de enviarlos por WhatsApp; relacionado con deuda tecnica de Chat Bot (DT001),IT,alta,,nueva,excel
IN094,Red / Conectividad,"Internet en Talagante se cae de forma intermitente todos los días, afectando continuidad de venta y atención",Operacion,2026-07-14T12:00:00-04:00,Problema identificado en el switch de comunicaciones de recepción,Monitoreo en curso; visita técnica coordinada para la tarde del 14-07 a fin de revisar/reemplazar switch,GTI,media,Solucionado,resuelta,excel
IN095,Agendamiento,Paciente queda con dos horas para la misma prestación (Ecocardiograma) en días distintos — hoy con Dra. Mutis y mañana con Dr. Aliste,Operacion,2026-07-14T12:00:00-04:00,"La validación de duplicidad de reservas no contempla la misma prestación agendada en fechas diferentes, solo el mismo día (relacionado con IN066/IN067/IN069)","Revisar caso urgente, anular la hora duplicada según indicación médica; ampliar la regla de validación de duplicidad para que cubra la misma prestación sin importar el día",Alma / Integraciones,media,,nueva,excel
IN096,nPACS / Alma,Examenes realizados no se registran/visualizan en ficha de Alma (asociados a una TM especifica),Operacion,2026-07-14T12:00:00-04:00,"Se detecto que ciertas prestaciones registradas en nPACS (ej. ACC 10402364, Ecografia Mamaria Bilateral con Doppler, paciente Roman Mesina Ivonne Fabiola, RUT 12685932-5, realizada 11-07-2026) no aparecen en la ficha del paciente en Alma. Se identifico que los casos detectados corresponden a examenes realizados por la misma tecnologa medica (TM Paula Sandoval). Van 2 casos reportados desde el dia anterior sin respuesta aun",Juan enviara correo con el detalle del caso; Hugo debe revisar por que las prestaciones realizadas por esta TM especifica no estan sincronizando hacia Alma,Alma / Integraciones,alta,Solucionado,resuelta,excel
